id,naslov,tip,epizode,leto,ogledi,ocena
#area33221,Mobile Suit Gundam Thunderbolt: December Sky,Movie,(1 eps),2016,8'903,7.93
#area569,Musekinin Kanchou Tylor,TV,(26 eps),1993,27'964,7.93
#area597,Neko no Ongaeshi,Movie,(1 eps),2002,126'319,7.93
#area15771,Saint☆Oniisan (Movie),Movie,(1 eps),2013,48'011,7.93
#area12445,Tasogare Otome x Amnesia,TV,(12 eps),2012,237'654,7.93
#area949,Top wo Nerae! Gunbuster,TV,(12 eps),2017,247'915,7.93
#area1689,Byousoku 5 Centimeter,Movie,(3 eps),2007,484'832,7.92
#area1472,City Hunter 3,TV,(13 eps),1989,9'520,7.92
#area12893,Danshi Koukousei no Nichijou Specials,Movie,(1 eps),2008,26'528,7.92
#area2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,TV,(113 eps),1978,18'163,7.92
#area12413,Jormungand,TV,(12 eps),2012,195'055,7.92
#area4080,Kyou kara Maou! 3rd Series,TV,(39 eps),2008,23'444,7.92
#area397,Seikai no Senki II,TV,(10 eps),2001,16'674,7.92
#area12017,Tiger &amp;amp; Bunny Movie 2: The Rising,Movie,(1 eps),2014,18'504,7.92
#area543,Vampire Hunter D (2000),Movie,(1 eps),2000,92'136,7.92
#area12403,Yuru Yuri♪♪,TV,(12 eps),2012,115'265,7.92
#area34375,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,(1 eps),2017,7'621,7.92
#area890,Yuusha-Ou GaoGaiGar,TV,(49 eps),1997,12'987,7.92
#area30123,Akagami no Shirayuki-hime,TV,(12 eps),2015,276'686,7.91
#area532,Bishoujo Senshi Sailor Moon S,TV,(38 eps),1994,83'928,7.91
#area28999,Charlotte,TV,(13 eps),2015,583'081,7.91
#area6768,Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,Movie,(1 eps),2016,43'392,7.91
#area22777,Dragon Ball Kai (2014),TV,(61 eps),2014,77'260,7.91
#area35222,Gakuen Babysitters,TV,(12 eps),2018,65'099,7.91
#area4872,Goku Sayonara Zetsubou Sensei,TV,(25 eps),2013,44'661,7.91
#area35075,Hoozuki no Reitetsu 2nd Season,TV,(13 eps),2017,23'499,7.91
#area249,InuYasha,TV,(167 eps),2000,391'884,7.91
#area254,Jungle wa Itsumo Hare nochi Guu Deluxe,TV,(12 eps),2018,157'585,7.91
#area33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,Movie,(1 eps),2014,12'032,7.91
#area3750,Maria-sama ga Miteru 4th,TV,(13 eps),2009,14'421,7.91
#area2273,Mobile Suit Gundam Wing: Endless Waltz Movie,Movie,(1 eps),1998,42'410,7.91
