id,naslov,tip,epizode,leto,ogledi,ocena
#area10937,Mobile Suit Gundam: The Origin,OVA,(6 eps),2015,31'355,8.45
#area2246,Mononoke,TV,(12 eps),2007,136'013,8.45
#area31181,Owarimonogatari,TV,(12 eps),2015,212'393,8.45
#area25777,Shingeki no Kyojin Season 2,TV,(12 eps),2017,732'461,8.45
#area32282,Shokugeki no Souma: Ni no Sara,TV,(13 eps),2016,435'497,8.45
#area12029,Uchuu Senkan Yamato 2199,OVA,(26 eps),2012,68'335,8.45
#area31646,3-gatsu no Lion,TV,(22 eps),2016,221'859,8.44
#area25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,(1 eps),2017,125'553,8.44
#area11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,(1 eps),2012,119'911,8.44
#area13601,Psycho-Pass,TV,(22 eps),2012,802'759,8.44
#area2559,Romeo no Aoi Sora,TV,(33 eps),1995,23'946,8.44
#area523,Tonari no Totoro,Movie,(1 eps),1988,436'129,8.44
#area31964,Boku no Hero Academia,TV,(13 eps),2016,887'313,8.43
#area34036,Detective Conan: Episode One - The Great Detective Turned Small,Special,(1 eps),2016,12'114,8.43
#area3784,Evangelion: 2.0 You Can (Not) Advance,Movie,(1 eps),2009,249'778,8.43
#area10087,Fate/Zero,TV,(13 eps),2011,710'740,8.43
#area6594,Katanagatari,TV,(12 eps),2010,304'530,8.43
#area9260,Kizumonogatari I: Tekketsu-hen,Movie,(1 eps),2016,214'422,8.43
#area37078,Quanzhi Gaoshou Specials,Special,(3 eps),2018,38'813,8.43
#area12531,Sakamichi no Apollon,TV,(12 eps),2012,204'119,8.43
#area25835,Shirobako,TV,(24 eps),2014,241'851,8.43
#area10863,Steins;Gate: Oukoubakko no Poriomania,Special,(1 eps),2012,238'855,8.43
#area5420,Kemono no Souja Erin,TV,(50 eps),2009,52'170,8.42
#area486,Kino no Tabi: The Beautiful World,TV,(13 eps),2003,156'634,8.42
#area18115,Magi: The Kingdom of Magic,TV,(25 eps),2013,402'009,8.42
